Date;Price;Open;High;Low;Vol.;Change %
07/31/2025;2,460;2,510;2,530;2,460;6.95M;-1.99%
07/30/2025;2,510;2,570;2,600;2,500;7.36M;-1.95%
07/29/2025;2,560;2,480;2,570;2,460;10.16M;3.23%
07/28/2025;2,480;2,460;2,510;2,460;8.96M;0.40%
07/25/2025;2,470;2,510;2,530;2,460;7.55M;-1.20%
07/24/2025;2,500;2,480;2,600;2,480;24.19M;1.21%
07/23/2025;2,470;2,440;2,490;2,390;14.64M;2.49%
07/22/2025;2,410;2,490;2,490;2,400;25.05M;-3.21%
07/21/2025;2,490;2,600;2,600;2,470;24.06M;-3.86%
07/18/2025;2,590;2,710;2,720;2,590;14.15M;-4.07%
07/17/2025;2,700;2,800;2,800;2,690;8.52M;-3.57%
07/16/2025;2,800;2,760;2,800;2,750;6.17M;2.56%
07/15/2025;2,730;2,730;2,780;2,690;3.10M;-0.36%
07/14/2025;2,740;2,810;2,810;2,710;3.94M;-2.14%
07/11/2025;2,800;2,760;2,800;2,760;4.33M;1.82%
07/10/2025;2,750;2,740;2,770;2,720;3.85M;0.73%
07/09/2025;2,730;2,680;2,730;2,670;5.94M;1.87%
07/08/2025;2,680;2,680;2,680;2,650;2.48M;0.00%
07/07/2025;2,680;2,680;2,690;2,630;2.36M;0.75%
07/04/2025;2,660;2,690;2,710;2,640;2.79M;-0.75%
07/03/2025;2,680;2,620;2,730;2,620;8.37M;2.29%
07/02/2025;2,620;2,660;2,670;2,580;4.87M;-1.13%
07/01/2025;2,650;2,700;2,720;2,650;5.21M;-1.49%
06/30/2025;2,690;2,650;2,720;2,600;11.57M;4.26%
06/26/2025;2,580;2,580;2,620;2,560;2.96M;-0.77%
06/25/2025;2,600;2,640;2,660;2,580;5.56M;0.00%
06/24/2025;2,600;2,560;2,620;2,560;7.06M;2.77%
06/23/2025;2,530;2,640;2,650;2,500;9.20M;-5.60%
06/20/2025;2,680;2,730;2,760;2,650;9.44M;-1.83%
06/19/2025;2,730;2,880;2,890;2,680;16.74M;-4.88%
06/18/2025;2,870;2,910;2,940;2,860;7.54M;-1.37%
06/17/2025;2,910;2,880;2,950;2,850;8.78M;1.04%
06/16/2025;2,880;2,900;2,950;2,850;9.41M;-0.69%
06/13/2025;2,900;2,870;3,060;2,820;27.34M;-0.68%
06/12/2025;2,920;2,830;2,930;2,790;19.00M;3.18%
06/11/2025;2,830;2,900;2,910;2,820;10.22M;-1.39%
06/10/2025;2,870;2,750;2,950;2,740;25.34M;4.74%
06/05/2025;2,740;2,700;2,780;2,700;12.44M;-1.79%
06/04/2025;2,790;2,890;2,890;2,760;12.33M;-1.41%
06/03/2025;2,830;2,760;2,840;2,710;11.09M;2.54%
06/02/2025;2,760;2,820;2,830;2,730;14.10M;-1.78%
05/28/2025;2,810;2,860;2,880;2,810;19.66M;-1.06%
05/27/2025;2,840;2,880;2,960;2,830;25.00M;-0.70%
